event_id,user_id,event_type,event_date
1,1,task_created,2024-11-13
2,1,file_uploaded,2024-11-09
3,1,task_created,2025-12-18
4,1,task_created,2026-03-31
5,1,task_created,2024-11-21
6,1,report_generated,2026-02-22
7,1,comment_added,2025-05-22
8,1,comment_added,2025-08-17
9,1,report_generated,2026-05-30
10,1,report_generated,2025-05-25
11,1,comment_added,2025-02-18
12,1,file_uploaded,2025-05-09
13,1,report_generated,2025-07-29
14,1,comment_added,2024-11-26
15,1,task_created,2026-05-23
16,1,file_uploaded,2026-06-28
17,1,file_uploaded,2026-04-17
18,1,report_generated,2024-11-12
19,2,comment_added,2026-05-17
20,2,file_uploaded,2026-04-15
21,3,task_created,2026-02-18
22,3,file_uploaded,2025-12-24
23,3,comment_added,2025-10-26
24,3,task_created,2026-03-23
25,3,report_generated,2025-11-16
26,3,task_created,2026-07-21
27,3,login,2026-03-18
28,3,file_uploaded,2026-05-07
29,3,comment_added,2026-02-22
30,3,task_created,2026-04-21
31,3,task_created,2026-02-07
32,3,task_created,2025-12-01
33,3,login,2026-01-09
34,3,report_generated,2026-03-11
35,3,comment_added,2025-09-09
36,3,task_created,2026-07-29
37,3,report_generated,2025-08-19
38,3,comment_added,2026-02-02
39,3,login,2026-05-28
40,3,task_created,2025-08-30
41,3,comment_added,2026-08-17
42,3,comment_added,2026-07-29
43,3,file_uploaded,2025-11-12
44,3,report_generated,2025-11-07
45,3,login,2025-12-26
46,3,task_created,2025-11-09
47,3,login,2026-08-07
48,3,file_uploaded,2026-08-10
49,3,comment_added,2025-11-25
50,3,task_created,2026-07-19
51,3,task_created,2026-02-12
52,3,report_generated,2026-05-02
53,3,report_generated,2026-08-25
54,3,file_uploaded,2026-02-03
55,3,report_generated,2026-04-23
56,3,report_generated,2025-12-28
57,3,comment_added,2026-01-24
58,4,file_uploaded,2026-04-15
59,4,file_uploaded,2025-09-23
60,4,report_generated,2026-08-28
61,4,report_generated,2025-11-16
62,4,file_uploaded,2026-01-11
63,4,comment_added,2025-08-27
64,4,task_created,2025-11-25
65,4,report_generated,2025-08-12
66,4,comment_added,2026-05-14
67,4,file_uploaded,2026-05-27
68,4,task_created,2026-01-02
69,4,report_generated,2025-11-12
70,4,file_uploaded,2025-11-29
71,4,task_created,2026-05-22
72,4,comment_added,2026-04-16
73,4,report_generated,2026-07-05
74,4,file_uploaded,2025-12-13
75,5,file_uploaded,2026-08-20
76,5,task_created,2026-02-15
77,5,task_created,2025-10-27
78,5,comment_added,2025-03-24
79,6,task_created,2026-07-11
80,6,login,2026-07-24
81,6,login,2026-07-20
82,6,login,2026-03-27
83,6,file_uploaded,2026-03-09
84,6,task_created,2026-04-12
85,6,task_created,2026-03-25
86,6,task_created,2026-03-10
87,6,file_uploaded,2026-07-15
88,6,login,2026-06-11
89,6,comment_added,2026-08-13
90,6,file_uploaded,2026-07-09
91,6,login,2026-03-12
92,7,login,2026-07-15
93,7,comment_added,2025-12-25
94,7,comment_added,2026-05-06
95,7,login,2026-05-12
96,7,file_uploaded,2026-08-31
97,7,login,2026-03-18
98,7,comment_added,2026-02-04
99,7,task_created,2026-03-03
100,7,comment_added,2026-03-25
101,7,report_generated,2026-04-25
102,7,file_uploaded,2026-05-02
103,7,report_generated,2026-01-26
104,7,file_uploaded,2026-07-12
105,7,task_created,2026-04-20
106,7,login,2026-05-19
107,7,login,2026-01-02
108,7,file_uploaded,2026-07-12
109,7,comment_added,2026-06-28
110,7,login,2026-08-17
111,7,task_created,2025-12-21
112,7,file_uploaded,2026-01-28
113,7,report_generated,2026-07-27
114,7,comment_added,2026-02-03
115,7,task_created,2026-01-07
116,7,comment_added,2026-04-04
117,7,report_generated,2026-08-17
118,7,login,2026-01-09
119,7,comment_added,2026-05-09
120,7,task_created,2026-01-02
121,8,login,2026-04-22
122,8,comment_added,2026-02-26
123,8,file_uploaded,2026-01-24
124,8,report_generated,2025-12-21
125,9,comment_added,2026-02-21
126,9,comment_added,2026-04-02
127,9,comment_added,2026-06-17
128,9,file_uploaded,2026-05-18
129,9,login,2026-02-09
130,9,report_generated,2026-08-13
131,9,login,2025-12-27
132,9,task_created,2026-07-11
133,9,report_generated,2026-01-07
134,9,report_generated,2026-06-21
135,9,report_generated,2025-12-15
136,9,file_uploaded,2026-07-18
137,9,report_generated,2026-03-26
138,9,file_uploaded,2026-06-10
139,9,comment_added,2026-03-05
140,9,login,2026-06-12
141,9,task_created,2026-04-30
142,9,login,2026-01-06
143,9,task_created,2026-04-16
144,9,task_created,2026-06-12
145,9,report_generated,2026-06-17
146,9,login,2026-06-02
147,9,login,2026-01-15
148,9,file_uploaded,2026-05-06
149,9,report_generated,2026-06-02
150,9,task_created,2026-01-21
151,9,task_created,2026-01-13
152,9,file_uploaded,2026-07-08
153,9,file_uploaded,2026-08-19
154,9,login,2026-01-21
155,9,report_generated,2026-01-14
156,9,comment_added,2026-01-16
157,9,file_uploaded,2026-05-15
158,9,report_generated,2025-12-06
159,9,file_uploaded,2026-06-29
160,10,login,2026-08-19
161,10,comment_added,2026-08-12
162,10,comment_added,2026-06-12
163,10,task_created,2026-07-17
164,10,file_uploaded,2026-08-07
165,10,task_created,2026-06-02
166,10,report_generated,2026-06-15
167,10,file_uploaded,2026-06-15
168,10,login,2026-05-30
169,10,file_uploaded,2026-06-02
170,10,file_uploaded,2026-06-16
171,10,file_uploaded,2026-06-19
172,10,login,2026-08-20
173,10,report_generated,2026-06-27
174,10,file_uploaded,2026-06-12
175,11,comment_added,2026-06-04
176,11,file_uploaded,2025-04-22
177,12,task_created,2025-08-17
178,12,login,2025-11-26
179,12,report_generated,2026-01-12
180,12,comment_added,2026-08-28
181,12,report_generated,2026-01-04
182,13,report_generated,2026-06-27
183,13,comment_added,2026-06-25
184,13,report_generated,2026-04-10
185,13,comment_added,2026-05-28
186,13,task_created,2026-08-31
187,13,report_generated,2026-07-07
188,13,file_uploaded,2026-04-21
189,13,report_generated,2026-05-27
190,13,file_uploaded,2026-08-31
191,13,task_created,2026-08-01
192,13,file_uploaded,2026-05-29
193,13,file_uploaded,2026-05-17
194,13,login,2026-06-08
195,13,task_created,2026-07-29
196,13,comment_added,2026-08-05
197,13,comment_added,2026-04-22
198,13,file_uploaded,2026-03-13
199,13,file_uploaded,2026-04-29
200,13,login,2026-05-20
201,13,file_uploaded,2026-06-19
202,13,report_generated,2026-04-11
203,13,report_generated,2026-05-07
204,13,task_created,2026-08-22
205,13,file_uploaded,2026-06-23
206,13,file_uploaded,2026-03-25
207,13,file_uploaded,2026-08-07
208,13,file_uploaded,2026-08-03
209,13,comment_added,2026-07-21
210,13,file_uploaded,2026-08-31
211,13,login,2026-07-24
212,13,comment_added,2026-06-07
213,13,login,2026-08-06
214,13,task_created,2026-04-03
215,14,task_created,2026-04-24
216,14,comment_added,2025-11-16
217,14,report_generated,2026-05-17
218,14,login,2026-06-02
219,14,login,2025-10-30
220,14,task_created,2026-03-06
221,14,comment_added,2026-07-13
222,14,comment_added,2026-08-06
223,14,task_created,2026-08-15
224,14,report_generated,2026-06-10
225,14,file_uploaded,2026-05-13
226,14,comment_added,2026-08-22
227,14,report_generated,2026-01-10
228,14,file_uploaded,2025-11-06
229,14,report_generated,2025-12-17
230,14,login,2026-05-25
231,14,task_created,2025-12-23
232,14,report_generated,2026-04-21
233,14,file_uploaded,2026-04-18
234,14,comment_added,2026-02-07
235,14,report_generated,2026-06-29
236,14,login,2026-06-25
237,15,file_uploaded,2026-06-24
238,15,login,2026-04-24
239,15,login,2026-04-14
240,16,login,2026-06-20
241,16,report_generated,2025-05-13
242,16,login,2026-03-29
243,16,task_created,2026-04-13
244,16,task_created,2026-08-21
245,16,task_created,2026-01-21
246,16,task_created,2026-02-08
247,16,comment_added,2025-10-18
248,16,file_uploaded,2025-12-06
249,16,file_uploaded,2025-08-28
250,16,task_created,2026-03-20
251,16,file_uploaded,2025-08-05
252,16,login,2025-11-20
253,17,task_created,2026-05-24
254,17,comment_added,2025-12-07
255,17,file_uploaded,2025-11-16
256,17,task_created,2024-09-07
257,17,report_generated,2025-04-01
258,17,login,2026-08-24
259,17,login,2026-04-17
260,17,task_created,2026-03-06
261,17,report_generated,2025-09-12
262,17,file_uploaded,2025-03-23
263,17,report_generated,2024-12-28
264,17,file_uploaded,2026-07-21
265,17,report_generated,2026-02-25
266,17,file_uploaded,2026-05-07
267,17,file_uploaded,2026-05-21
268,18,login,2026-05-14
269,18,report_generated,2025-09-11
270,18,comment_added,2026-01-01
271,18,report_generated,2025-03-15
272,18,comment_added,2026-06-11
273,18,task_created,2024-12-15
274,18,login,2025-08-06
275,18,report_generated,2025-05-22
276,18,task_created,2025-01-17
277,19,task_created,2025-11-25
278,19,file_uploaded,2026-02-03
279,19,comment_added,2025-12-18
280,19,comment_added,2025-07-27
281,19,file_uploaded,2025-11-30
282,19,file_uploaded,2025-08-21
283,19,comment_added,2026-04-08
284,19,task_created,2026-05-08
285,19,task_created,2026-02-26
286,19,report_generated,2026-01-23
287,19,task_created,2025-07-28
288,19,file_uploaded,2025-10-26
289,19,login,2026-03-31
290,19,report_generated,2026-08-04
291,19,file_uploaded,2025-05-22
292,19,task_created,2025-07-26
293,19,file_uploaded,2026-07-09
294,20,comment_added,2026-07-19
295,20,file_uploaded,2026-05-11
296,20,file_uploaded,2026-05-08
297,20,file_uploaded,2026-03-20
298,20,login,2025-06-10
299,21,task_created,2025-03-31
300,21,login,2025-12-24
301,21,task_created,2025-12-06
302,21,report_generated,2026-09-01
303,22,file_uploaded,2025-11-18
304,23,file_uploaded,2026-07-31
305,23,comment_added,2026-07-23
306,23,comment_added,2025-12-11
307,23,report_generated,2025-12-12
308,23,report_generated,2026-07-20
309,23,login,2026-07-19
310,23,comment_added,2026-05-28
311,23,file_uploaded,2026-02-03
312,23,task_created,2025-12-06
313,23,login,2026-03-16
314,23,report_generated,2026-06-02
315,23,login,2026-04-11
316,23,login,2026-05-27
317,23,task_created,2026-02-13
318,23,report_generated,2026-08-12
319,23,file_uploaded,2026-08-23
320,23,comment_added,2026-01-07
321,23,task_created,2025-12-25
322,23,login,2026-01-28
323,24,comment_added,2026-08-08
324,24,comment_added,2026-07-30
325,24,task_created,2026-09-01
326,24,report_generated,2026-08-05
327,25,comment_added,2026-05-18
328,25,comment_added,2026-05-06
329,25,task_created,2026-02-07
330,25,login,2026-07-19
331,26,task_created,2025-09-11
332,26,task_created,2025-04-16
333,26,report_generated,2025-04-30
334,26,file_uploaded,2025-08-12
335,26,task_created,2026-04-17
336,26,report_generated,2026-07-16
337,26,file_uploaded,2026-01-30
338,26,login,2026-03-09
339,26,file_uploaded,2025-03-07
340,26,report_generated,2026-05-13
341,26,file_uploaded,2025-12-14
342,26,report_generated,2026-04-15
343,26,login,2026-07-20
344,27,login,2026-08-15
345,27,file_uploaded,2026-06-06
346,27,report_generated,2026-04-18
347,27,login,2026-08-06
348,27,comment_added,2026-07-09
349,27,task_created,2025-12-17
350,27,task_created,2026-01-02
351,27,report_generated,2026-02-05
352,27,report_generated,2025-11-09
353,27,comment_added,2025-11-16
354,27,task_created,2026-03-19
355,27,file_uploaded,2026-03-13
356,27,report_generated,2026-07-05
357,27,login,2026-08-28
358,27,login,2025-06-20
359,27,file_uploaded,2026-04-13
360,27,login,2025-06-05
361,27,task_created,2026-08-10
362,27,file_uploaded,2026-01-08
363,27,file_uploaded,2025-05-28
364,27,task_created,2025-09-08
365,27,report_generated,2026-08-22
366,27,report_generated,2025-08-17
367,27,report_generated,2025-07-14
368,27,login,2025-10-03
369,27,task_created,2025-12-04
370,27,file_uploaded,2025-06-23
371,27,report_generated,2026-04-13
372,27,task_created,2026-06-03
373,27,login,2026-01-02
374,27,login,2026-05-23
375,27,task_created,2025-05-28
376,28,login,2026-08-16
377,28,comment_added,2026-07-02
378,28,comment_added,2026-07-14
379,28,login,2026-08-11
380,28,report_generated,2026-06-17
381,28,file_uploaded,2026-07-01
382,29,file_uploaded,2025-05-19
383,29,task_created,2025-03-17
384,29,login,2026-01-31
385,29,login,2025-04-18
386,29,report_generated,2025-11-20
387,29,task_created,2025-11-06
388,29,task_created,2026-01-30
389,29,login,2025-05-30
390,29,comment_added,2026-07-01
391,29,comment_added,2025-01-12
392,29,file_uploaded,2025-06-21
393,29,task_created,2025-12-29
394,29,file_uploaded,2025-06-08
395,29,task_created,2026-04-02
396,29,login,2025-04-02
397,29,login,2025-05-27
398,29,file_uploaded,2026-08-30
399,29,file_uploaded,2025-12-29
400,29,task_created,2025-11-22
401,29,report_generated,2025-09-14
402,29,task_created,2025-03-31
403,29,comment_added,2026-07-24
404,29,login,2025-10-22
405,29,task_created,2025-11-08
406,29,comment_added,2026-06-18
407,29,task_created,2026-06-09
408,29,report_generated,2026-02-09
409,29,task_created,2025-02-28
410,29,file_uploaded,2026-05-25
411,29,task_created,2025-04-29
412,30,comment_added,2026-02-02
413,30,comment_added,2024-11-20
414,30,report_generated,2024-09-21
415,30,task_created,2025-07-30
416,30,comment_added,2025-10-10
417,30,report_generated,2025-11-13
418,30,task_created,2026-03-22
419,30,login,2026-01-04
420,30,comment_added,2024-09-26
421,30,login,2024-11-17
422,30,task_created,2025-06-04
423,30,login,2024-10-19
424,30,comment_added,2025-10-21
425,31,comment_added,2025-08-23
426,31,file_uploaded,2026-01-02
427,31,login,2025-12-19
428,31,comment_added,2026-08-20
429,31,comment_added,2026-05-07
430,31,report_generated,2025-04-08
431,31,report_generated,2025-01-27
